"season","week","home_team","away_team","home_score","away_score"
2021,"Week 1","TB","DAL",31,29
2021,"Week 1","ATL","PHI",6,32
2021,"Week 1","BUF","PIT",16,23
2021,"Week 1","CAR","NYJ",19,14
2021,"Week 1","CIN","MIN",27,24
2021,"Week 1","DET","SF",33,41
2021,"Week 1","HOU","JAX",37,21
2021,"Week 1","IND","SEA",16,28
2021,"Week 1","TEN","ARI",13,38
2021,"Week 1","WAS","LAC",16,20
2021,"Week 1","KC","CLE",33,29
2021,"Week 1","NE","MIA",16,17
2021,"Week 1","NO","GB",38,3
2021,"Week 1","NYG","DEN",13,27
2021,"Week 1","LAR","CHI",34,14
2021,"Week 1","LV","BAL",33,27
2021,"Week 2","WAS","NYG",30,29
2021,"Week 2","CAR","NO",26,7
2021,"Week 2","CHI","CIN",20,17
2021,"Week 2","CLE","HOU",31,21
2021,"Week 2","IND","LAR",24,27
2021,"Week 2","JAX","DEN",13,23
2021,"Week 2","MIA","BUF",0,35
2021,"Week 2","NYJ","NE",6,25
2021,"Week 2","PHI","SF",11,17
2021,"Week 2","PIT","LV",17,26
2021,"Week 2","ARI","MIN",34,33
2021,"Week 2","TB","ATL",48,25
2021,"Week 2","LAC","DAL",17,20
2021,"Week 2","SEA","TEN",30,33
2021,"Week 2","BAL","KC",36,35
2021,"Week 2","GB","DET",35,17
2021,"Week 3","HOU","CAR",9,24
2021,"Week 3","BUF","WAS",43,21
2021,"Week 3","CLE","CHI",26,6
2021,"Week 3","DET","BAL",17,19
2021,"Week 3","JAX","ARI",19,31
2021,"Week 3","KC","LAC",24,30
2021,"Week 3","NE","NO",13,28
2021,"Week 3","NYG","ATL",14,17
2021,"Week 3","PIT","CIN",10,24
2021,"Week 3","TEN","IND",25,16
2021,"Week 3","DEN","NYJ",26,0
2021,"Week 3","LV","MIA",31,28
2021,"Week 3","LAR","TB",34,24
2021,"Week 3","MIN","SEA",30,17
2021,"Week 3","SF","GB",28,30
2021,"Week 3","DAL","PHI",41,21
2021,"Week 4","CIN","JAX",24,21
2021,"Week 4","ATL","WAS",30,34
2021,"Week 4","BUF","HOU",40,0
2021,"Week 4","CHI","DET",24,14
2021,"Week 4","DAL","CAR",36,28
2021,"Week 4","MIA","IND",17,27
2021,"Week 4","MIN","CLE",7,14
2021,"Week 4","NO","NYG",21,27
2021,"Week 4","NYJ","TEN",27,24
2021,"Week 4","PHI","KC",30,42
2021,"Week 4","LAR","ARI",20,37
2021,"Week 4","SF","SEA",21,28
2021,"Week 4","DEN","BAL",7,23
2021,"Week 4","GB","PIT",27,17
