"first_name","last_name","season","position","jersey_number","team","college","birth_date","height","weight","years_exp","headshot_url"
"aaron","jones",2021,"RB",33,"GB","Texas-El Paso",1994-12-02,69,208,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aspau9t4rjwirkedoz5o"
"aaron","jones",2022,"RB",33,"GB","Texas-El Paso",1994-12-02,69,208,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oo8yixhsahh4gznox7th"
"aaron","jones",2023,"RB",33,"GB","Texas-El Paso",1994-12-02,69,208,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oo8yixhsahh4gznox7th"
"aaron","jones",2024,"RB",33,"MIN","Texas-El Paso",1994-12-02,69,208,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim"
"aaron","rodgers",2021,"QB",12,"GB","California",1983-12-02,74,225,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh8azxeqpydxofvo0suc"
"aaron","rodgers",2022,"QB",12,"GB","California",1983-12-02,74,225,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mee42twdk3qpcdotzdka"
"aaron","rodgers",2023,"QB",8,"NYJ","California",1983-12-02,74,225,18,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e"
"aaron","rodgers",2024,"QB",8,"NYJ","California",1983-12-02,74,225,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to"
"aaron","shampklin",2022,"RB",32,"IND","Harvard",1999-10-18,70,194,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtspa8hjdcsu9o36begl"
"aaron","shampklin",2023,"RB",23,"LAC","Harvard",1999-10-18,69,194,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtspa8hjdcsu9o36begl"
"aaron","shampklin",2024,"RB",33,"PIT","Harvard",1999-10-18,70,194,2,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iujjn4h87hwnj9tswfey"
"adam","humphries",2021,"WR",13,"WAS","Clemson",1993-06-24,71,195,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l56ywjejfpraigzs4qia"
