"teamid","team_name","team_nick","team_conf","team_division","team_color","team_color2","team_color3","team_color4","team_logo_espn","team_wordmark","team_conference_logo","team_league_logo"
"ARI","Arizona Cardinals","Cardinals","NFC","NFC West","#97233F","#000000","#ffb612","#a5acaf","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/ARI.png","https://github.com/nflverse/nflfastR-data/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"ATL","Atlanta Falcons","Falcons","NFC","NFC South","#A71930","#000000","#a5acaf","#a30d2d","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/ATL.png","https://github.com/nflverse/nflfastR-data/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"BAL","Baltimore Ravens","Ravens","AFC","AFC North","#241773","#9E7C0C","#9e7c0c","#c60c30","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/BAL.png","https://github.com/nflverse/nflfastR-data/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"BUF","Buffalo Bills","Bills","AFC","AFC East","#00338D","#C60C30","#0c2e82","#d50a0a","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/BUF.png","https://github.com/nflverse/nflfastR-data/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"CAR","Carolina Panthers","Panthers","NFC","NFC South","#0085CA","#000000","#bfc0bf","#0085ca","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/CAR.png","https://github.com/nflverse/nflfastR-data/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"CHI","Chicago Bears","Bears","NFC","NFC North","#0B162A","#C83803","#0b162a","#c83803","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/CHI.png","https://github.com/nflverse/nflfastR-data/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"CIN","Cincinnati Bengals","Bengals","AFC","AFC North","#FB4F14","#000000","#000000","#d32f1e","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/CIN.png","https://github.com/nflverse/nflfastR-data/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"CLE","Cleveland Browns","Browns","AFC","AFC North","#FF3C00","#311D00","#a5acaf","#d32f1e","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/CLE.png","https://github.com/nflverse/nflfastR-data/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"DAL","Dallas Cowboys","Cowboys","NFC","NFC East","#002244","#B0B7BC","#acc0c6","#a5acaf","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DAL.png","https://github.com/nflverse/nflfastR-data/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
"DEN","Denver Broncos","Broncos","AFC","AFC West","#002244","#FB4F14","#00234c","#ff5200","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png","https://github.com/nflverse/nflfastR-data/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png"
